description,type,value
Slides,google_slides,https://docs.google.com/presentation/d/1jBJaed7pHhh3Q5jlh0twHxXj6bMPf4v5PB3HnvAYM2w/view
Lesson Levels,level_summary,9520958
hallucination,vocabulary,hallucination: when the model makes up false or misleading information that sounds real but isn't true
Objective: Compare AI and human performance to identify AI's strengt...,objective,Compare AI and human performance to identify AI's strengths and weaknesses.
Objective: Evaluate AI's reliability and when human oversight is nee...,objective,Evaluate AI's reliability and when human oversight is needed.
Objective: Justify when AI should or shouldn't be used in real-world...,objective,Justify when AI should or shouldn't be used in real-world cases.
