description,type,value
Ai In The Community,google_doc,https://docs.google.com/document/d/1swk3Ytu52zPLdffHXsKMbNDrTTI87NIX9nZzSHQtBag/edit?usp=drivesdk
Slides,google_slides,https://docs.google.com/presentation/d/1PqMz7P4nIgD_znshzS-gzsY07Fp8QPTfxzWXEDg73R8/view
Lesson Levels,level_summary,9520966
"Objective: Assess the environmental costs of AI, including energy co...",objective,"Assess the environmental costs of AI, including energy consumption and carbon emissions."
Objective: Evaluate AI's societal impact by investigating its effect...,objective,Evaluate AI's societal impact by investigating its effects on different community groups.
Objective: Propose equitable AI solutions to ensure responsible and ...,objective,Propose equitable AI solutions to ensure responsible and inclusive implementation.
